@iter: 146, score: 121, epsilon: 0.23
@iter: 147, score: 55, epsilon: 0.23
@iter: 148, score: 19, epsilon: 0.23
@iter: 149, score: 12, epsilon: 0.22
@iter: 150, score: 17, epsilon: 0.22
@iter: 151, score: 11, epsilon: 0.22
@iter: 152, score: 10, epsilon: 0.22
@iter: 153, score: 14, epsilon: 0.21
@iter: 154, score: 18, epsilon: 0.21
@iter: 155, score: 125, epsilon: 0.21
@iter: 156, score: 53, epsilon: 0.21
@iter: 157, score: 44, epsilon: 0.21
@iter: 158, score: 35, epsilon: 0.20
@iter: 159, score: 21, epsilon: 0.20
@iter: 160, score: 83, epsilon: 0.20
@iter: 161, score: 20, epsilon: 0.20
@iter: 162, score: 28, epsilon: 0.20
@iter: 163, score: 10, epsilon: 0.19
@iter: 164, score: 42, epsilon: 0.19
@iter: 165, score: 26, epsilon: 0.19
@iter: 166, score: 16, epsilon: 0.19
@iter: 167, score: 56, epsilon: 0.19
@iter: 168, score: 78, epsilon: 0.18
@iter: 169, score: 20, epsilon: 0.18
@iter: 170, score: 12, epsilon: 0.18
@iter: 171, score: 11, epsilon: 0.18
@iter: 172, score: 8, epsilon: 0.18
@iter: 173, score: 17, epsilon: 0.18
@iter: 174, score: 12, epsilon: 0.17
@iter: 175, score: 13, epsilon: 0.17
@iter: 176, score: 10, epsilon: 0.17
@iter: 177, score: 72, epsilon: 0.17
@iter: 178, score: 99, epsilon: 0.17
@iter: 179, score: 27, epsilon: 0.17
@iter: 180, score: 20, epsilon: 0.16
@iter: 181, score: 20, epsilon: 0.16
@iter: 182, score: 15, epsilon: 0.16
@iter: 183, score: 17, epsilon: 0.16
@iter: 184, score: 11, epsilon: 0.16
@iter: 185, score: 8, epsilon: 0.16
@iter: 186, score: 16, epsilon: 0.15
@iter: 187, score: 12, epsilon: 0.15
@iter: 188, score: 89, epsilon: 0.15
@iter: 189, score: 16, epsilon: 0.15
@iter: 190, score: 54, epsilon: 0.15
@iter: 191, score: 115, epsilon: 0.15
@iter: 192, score: 93, epsilon: 0.15
@iter: 193, score: 119, epsilon: 0.14
@iter: 194, score: 78, epsilon: 0.14
@iter: 195, score: 77, epsilon: 0.14
@iter: 196, score: 106, epsilon: 0.14
@iter: 197, score: 199, epsilon: 0.14
@iter: 198, score: 58, epsilon: 0.14
@iter: 199, score: 46, epsilon: 0.14
@iter: 200, score: 30, epsilon: 0.13
@iter: 201, score: 29, epsilon: 0.13
@iter: 202, score: 28, epsilon: 0.13
@iter: 203, score: 64, epsilon: 0.13
@iter: 204, score: 23, epsilon: 0.13
@iter: 205, score: 21, epsilon: 0.13
@iter: 206, score: 101, epsilon: 0.13
@iter: 207, score: 128, epsilon: 0.12
@iter: 208, score: 54, epsilon: 0.12
@iter: 209, score: 69, epsilon: 0.12
@iter: 210, score: 199, epsilon: 0.12
@iter: 211, score: 101, epsilon: 0.12
@iter: 212, score: 138, epsilon: 0.12
@iter: 213, score: 158, epsilon: 0.12
@iter: 214, score: 94, epsilon: 0.12
@iter: 215, score: 178, epsilon: 0.12
@iter: 216, score: 134, epsilon: 0.11
@iter: 217, score: 133, epsilon: 0.11
@iter: 218, score: 91, epsilon: 0.11
@iter: 219, score: 17, epsilon: 0.11
@iter: 220, score: 160, epsilon: 0.11
@iter: 221, score: 115, epsilon: 0.11
@iter: 222, score: 166, epsilon: 0.11
@iter: 223, score: 76, epsilon: 0.11
@iter: 224, score: 94, epsilon: 0.11
@iter: 225, score: 174, epsilon: 0.10
@iter: 226, score: 104, epsilon: 0.10
@iter: 227, score: 109, epsilon: 0.10
@iter: 228, score: 121, epsilon: 0.10
@iter: 229, score: 52, epsilon: 0.10
@iter: 230, score: 66, epsilon: 0.10
@iter: 231, score: 88, epsilon: 0.10
@iter: 232, score: 91, epsilon: 0.10
@iter: 233, score: 76, epsilon: 0.10
@iter: 234, score: 77, epsilon: 0.10
@iter: 235, score: 112, epsilon: 0.09
@iter: 236, score: 74, epsilon: 0.09
@iter: 237, score: 103, epsilon: 0.09
@iter: 238, score: 102, epsilon: 0.09
@iter: 239, score: 109, epsilon: 0.09
@iter: 240, score: 68, epsilon: 0.09
@iter: 241, score: 199, epsilon: 0.09
@iter: 242, score: 142, epsilon: 0.09
@iter: 243, score: 149, epsilon: 0.09
@iter: 244, score: 199, epsilon: 0.09
@iter: 245, score: 140, epsilon: 0.09
@iter: 246, score: 102, epsilon: 0.08
@iter: 247, score: 103, epsilon: 0.08
